state	pollName	year	startDate	endDate	numberOfRespondents	democratic	republican	someoneElse	undecided	refuseToAnswer	finalTwoPartyVSDemocratic	finalTwoPartyVSRepublican	election	electionDate
TX	Frank N. Magid Associates, Inc.	2002	NA	2002-10-24	550	40	43	NA	NA	NA	43.931866572	56.068133428	Sen	2002-11-05
AR	Opinion Research Associates	2002	NA	2002-10-25	500	43	49	NA	NA	NA	46.4646464646	53.5353535354	Gov	2002-11-05
AZ	Behavior Research Center (Rocky Mountain)	2002	NA	2002-10-25	549	43	46	NA	NA	NA	50.5470459519	49.4529540481	Gov	2002-11-05
CA	Los Angeles Times	2002	NA	2002-10-25	879	45	36	NA	NA	NA	52.7839643653	47.2160356347	Gov	2002-11-05
ME	RKM Research and Communications, Inc.	2002	NA	2002-10-25	300	46	36	NA	NA	NA	53.2130777903	46.7869222097	Gov	2002-11-05
OH	Zogby Analytics, telephone	2002	NA	2002-10-25	602	35	49	NA	NA	NA	39.8958333333	60.1041666667	Gov	2002-11-05
AR	Opinion Research Associates	2002	NA	2002-10-25	500	51	43	NA	NA	NA	53.9	46.1	Sen	2002-11-05
ME	RKM Research and Communications, Inc.	2002	NA	2002-10-25	300	31	59	NA	NA	NA	41.56	58.44	Sen	2002-11-05
SD	Public Opinion Strategies	2002	NA	2002-10-25	500	45	48	NA	NA	NA	50.0756887678	49.9243112322	Sen	2002-11-05
AZ	Analytical Group	2002	NA	2002-10-26	600	42	37	NA	NA	NA	50.5470459519	49.4529540481	Gov	2002-11-05
IL	Market Shares Corp.	2002	NA	2002-10-26	701	47	37	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
IL	Rasmussen Reports/Pulse Opinion Research	2002	NA	2002-10-26	600	51	36	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
KS	Market Research Institute, Inc.	2002	NA	2002-10-26	602	46	37	NA	NA	NA	53.9795918367	46.0204081633	Gov	2002-11-05
KS	SurveyUSA	2002	NA	2002-10-26	704	53	38	NA	NA	NA	53.9795918367	46.0204081633	Gov	2002-11-05
MA	Harvard University	2002	NA	2002-10-26	400	41	39	NA	NA	NA	47.4128827878	52.5871172122	Gov	2002-11-05
MA	RKM Research and Communications, Inc.	2002	NA	2002-10-26	465	44	38	NA	NA	NA	47.4128827878	52.5871172122	Gov	2002-11-05
MD	SurveyUSA	2002	NA	2002-10-26	797	49	48	NA	NA	NA	48.0362537764	51.9637462236	Gov	2002-11-05
ME	Pan Atlantic SMS Group	2002	NA	2002-10-26	500	50	29	NA	NA	NA	53.2130777903	46.7869222097	Gov	2002-11-05
MI	SurveyUSA	2002	NA	2002-10-26	730	55	42	NA	NA	NA	52.024291498	47.975708502	Gov	2002-11-05
NE	Midwest Survey and Research	2002	NA	2002-10-26	604	20	70	NA	NA	NA	28.5269709544	71.4730290456	Gov	2002-11-05
NH	University of New Hampshire	2002	NA	2002-10-26	651	37	49	NA	NA	NA	39.4628099174	60.5371900826	Gov	2002-11-05
OR	Riley Research Associates	2002	NA	2002-10-26	604	46	42	NA	NA	NA	51.5247108307	48.4752891693	Gov	2002-11-05
PA	Millersville University	2002	NA	2002-10-26	483	54	36	NA	NA	NA	54.6012269939	45.3987730061	Gov	2002-11-05
PA	West Chester University	2002	NA	2002-10-26	472	49	32	NA	NA	NA	54.6012269939	45.3987730061	Gov	2002-11-05
SC	SurveyUSA	2002	NA	2002-10-26	764	50	47	NA	NA	NA	47.1	52.9	Gov	2002-11-05
SD	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-26	805	36	55	NA	NA	NA	42.4518743668	57.5481256332	Gov	2002-11-05
WI	Market Shares Corp.	2002	NA	2002-10-26	450	38	36	NA	NA	NA	52.1387283237	47.8612716763	Gov	2002-11-05
IL	Market Shares Corp.	2002	NA	2002-10-26	701	47	27	NA	NA	NA	61.3421453991	38.6578546009	Sen	2002-11-05
ME	Pan Atlantic SMS Group	2002	NA	2002-10-26	500	36	55	NA	NA	NA	41.56	58.44	Sen	2002-11-05
NE	Midwest Survey and Research	2002	NA	2002-10-26	604	10	82	NA	NA	NA	15.0308008214	84.9691991786	Sen	2002-11-05
NH	University of New Hampshire	2002	NA	2002-10-26	651	46	42	NA	NA	NA	47.7268051841	52.2731948159	Sen	2002-11-05
OR	Riley Research Associates	2002	NA	2002-10-26	604	34	56	NA	NA	NA	41.3379252766	58.6620747234	Sen	2002-11-05
SC	SurveyUSA	2002	NA	2002-10-26	764	48	49	NA	NA	NA	44.8219900598	55.1780099402	Sen	2002-11-05
SD	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-26	805	47	45	NA	NA	NA	50.0756887678	49.9243112322	Sen	2002-11-05
CO	Ciruli Associates	2002	NA	2002-10-27	400	24	60	NA	NA	NA	34.994807892	65.005192108	Gov	2002-11-05
CO	Talmey-Drake Research & Strategy, Inc.	2002	NA	2002-10-27	500	21	65	NA	NA	NA	34.994807892	65.005192108	Gov	2002-11-05
GA	Marketing Workshop	2002	NA	2002-10-27	800	51	40	NA	NA	NA	47.3899692938	52.6100307062	Gov	2002-11-05
MD	Potomac Incorporated	2002	NA	2002-10-27	869	44	48	NA	NA	NA	48.0362537764	51.9637462236	Gov	2002-11-05
OR	Davis, Hibbitts & Midghall, Inc.	2002	NA	2002-10-27	608	48	42	NA	NA	NA	51.5247108307	48.4752891693	Gov	2002-11-05
PA	SurveyUSA	2002	NA	2002-10-27	668	56	37	NA	NA	NA	54.6012269939	45.3987730061	Gov	2002-11-05
TN	SurveyUSA	2002	NA	2002-10-27	726	48	44	NA	NA	NA	51.5768056968	48.4231943032	Gov	2002-11-05
TX	Rice University	2002	NA	2002-10-27	656	37	49	NA	NA	NA	40.899795501	59.100204499	Gov	2002-11-05
WI	University of Wisconsin (Badger Poll)	2002	NA	2002-10-27	501	41	34	NA	NA	NA	52.1387283237	47.8612716763	Gov	2002-11-05
CO	Ciruli Associates	2002	NA	2002-10-27	400	39	41	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
CO	Talmey-Drake Research & Strategy, Inc.	2002	NA	2002-10-27	500	39	43	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
GA	Marketing Workshop	2002	NA	2002-10-27	800	49	44	NA	NA	NA	46.5186986926	53.4813013074	Sen	2002-11-05
MN	Public Opinion Strategies	2002	NA	2002-10-27	600	45	43	NA	NA	NA	48.8641057414	51.1358942586	Sen	2002-11-05
MO	Market Research Institute, Inc.	2002	NA	2002-10-27	601	41	46	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
OR	Davis, Hibbitts & Midghall, Inc.	2002	NA	2002-10-27	608	36	55	NA	NA	NA	41.3379252766	58.6620747234	Sen	2002-11-05
TN	SurveyUSA	2002	NA	2002-10-27	726	41	52	NA	NA	NA	44.9650136903	55.0349863097	Sen	2002-11-05
TX	Rice University	2002	NA	2002-10-27	656	39	45	NA	NA	NA	43.931866572	56.068133428	Sen	2002-11-05
CA	Field Research Corporation (Field Poll)	2002	NA	2002-10-28	740	41	34	NA	NA	NA	52.7839643653	47.2160356347	Gov	2002-11-05
CA	Tarrance Group	2002	NA	2002-10-28	500	42	39	NA	NA	NA	52.7839643653	47.2160356347	Gov	2002-11-05
FL	Garin-Hart-Yang Research Group	2002	NA	2002-10-28	604	45	48	NA	NA	NA	43.4914228052	56.5085771948	Gov	2002-11-05
FL	Marketing Workshop	2002	NA	2002-10-28	300	43	47	NA	NA	NA	43.4914228052	56.5085771948	Gov	2002-11-05
HI	Ward Research (Honolulu Star-Advertiser)	2002	NA	2002-10-28	750	43	44	NA	NA	NA	47.6673427992	52.3326572008	Gov	2002-11-05
IA	SurveyUSA	2002	NA	2002-10-28	614	56	42	NA	NA	NA	54.2181069959	45.7818930041	Gov	2002-11-05
IL	Garin-Hart-Yang Research Group	2002	NA	2002-10-28	606	52	36	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
IL	Market Strategies International	2002	NA	2002-10-28	400	45	39	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
MN	Star Tribune	2002	NA	2002-10-28	929	33	29	NA	NA	NA	45.1174289246	54.8825710754	Gov	2002-11-05
NV	SurveyUSA	2002	NA	2002-10-28	523	28	63	NA	NA	NA	24.3632336656	75.6367663344	Gov	2002-11-05
OH	Columbus Dispatch	2002	NA	2002-10-28	2048	40	58	NA	NA	NA	39.8958333333	60.1041666667	Gov	2002-11-05
OR	Research 2000	2002	NA	2002-10-28	802	48	40	NA	NA	NA	51.5247108307	48.4752891693	Gov	2002-11-05
RI	Fleming & Associates	2002	NA	2002-10-28	401	40	43	NA	NA	NA	45.2	54.8	Gov	2002-11-05
IA	SurveyUSA	2002	NA	2002-10-28	605	60	38	NA	NA	NA	55.3082890976	44.6917109024	Sen	2002-11-05
MN	Star Tribune	2002	NA	2002-10-28	929	47	39	NA	NA	NA	48.8641057414	51.1358942586	Sen	2002-11-05
MO	American Viewpoint	2002	NA	2002-10-28	600	42	49	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
NC	University of North Carolina	2002	NA	2002-10-28	560	40	47	NA	NA	NA	45.6354039789	54.3645960211	Sen	2002-11-05
NJ	SurveyUSA	2002	NA	2002-10-28	732	51	41	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
OR	Research 2000	2002	NA	2002-10-28	802	40	55	NA	NA	NA	41.3379252766	58.6620747234	Sen	2002-11-05
SD	Public Opinion Strategies	2002	NA	2002-10-28	500	45	48	NA	NA	NA	50.0756887678	49.9243112322	Sen	2002-11-05
FL	CBS News/New York Times	2002	NA	2002-10-29	715	43	49	NA	NA	NA	43.4914228052	56.5085771948	Gov	2002-11-05
FL	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	800	43	51	NA	NA	NA	43.4914228052	56.5085771948	Gov	2002-11-05
IA	Research 2000	2002	NA	2002-10-29	600	53	41	NA	NA	NA	54.2181069959	45.7818930041	Gov	2002-11-05
ID	Greg Smith and Associates	2002	NA	2002-10-29	400	40	48	NA	NA	NA	42.5510204082	57.4489795918	Gov	2002-11-05
IL	Research 2000	2002	NA	2002-10-29	600	53	42	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
IL	SurveyUSA	2002	NA	2002-10-29	535	53	39	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
MD	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	625	46	47	NA	NA	NA	48.0362537764	51.9637462236	Gov	2002-11-05
MI	Mitchell Research & Communications	2002	NA	2002-10-29	600	51	38	NA	NA	NA	52.024291498	47.975708502	Gov	2002-11-05
NH	American Research Group	2002	NA	2002-10-29	600	36	52	NA	NA	NA	39.4628099174	60.5371900826	Gov	2002-11-05
NH	Franklin Pierce University	2002	NA	2002-10-29	933	36	44	NA	NA	NA	39.4628099174	60.5371900826	Gov	2002-11-05
NM	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	405	51	37	NA	NA	NA	61.3938053097	38.6061946903	Gov	2002-11-05
NY	Marist College	2002	NA	2002-10-29	432	27	48	NA	NA	NA	40.41013269	59.58986731	Gov	2002-11-05
NY	SurveyUSA	2002	NA	2002-10-29	567	32	47	NA	NA	NA	40.41013269	59.58986731	Gov	2002-11-05
OK	SurveyUSA	2002	NA	2002-10-29	710	39	37	NA	NA	NA	50.4074505239	49.5925494761	Gov	2002-11-05
RI	SurveyUSA	2002	NA	2002-10-29	593	45	48	NA	NA	NA	45.2	54.8	Gov	2002-11-05
SC	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	625	42	49	NA	NA	NA	47.1	52.9	Gov	2002-11-05
IA	Research 2000	2002	NA	2002-10-29	600	52	43	NA	NA	NA	55.3082890976	44.6917109024	Sen	2002-11-05
ID	Greg Smith and Associates	2002	NA	2002-10-29	400	30	61	NA	NA	NA	33.3128645993	66.6871354007	Sen	2002-11-05
IL	Research 2000	2002	NA	2002-10-29	600	56	39	NA	NA	NA	61.3421453991	38.6578546009	Sen	2002-11-05
IL	SurveyUSA	2002	NA	2002-10-29	528	56	37	NA	NA	NA	61.3421453991	38.6578546009	Sen	2002-11-05
KY	SurveyUSA	2002	NA	2002-10-29	705	29	66	NA	NA	NA	35.32	64.68	Sen	2002-11-05
MI	EPIC-MRA	2002	NA	2002-10-29	500	63	31	NA	NA	NA	61.5329949239	38.4670050761	Sen	2002-11-05
MI	Mitchell Research & Communications	2002	NA	2002-10-29	600	60	30	NA	NA	NA	61.5329949239	38.4670050761	Sen	2002-11-05
MO	Research 2000	2002	NA	2002-10-29	600	46	50	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
NC	Ethridge & Associates, LLC	2002	NA	2002-10-29	560	40	47	NA	NA	NA	45.6354039789	54.3645960211	Sen	2002-11-05
NC	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	625	42	48	NA	NA	NA	45.6354039789	54.3645960211	Sen	2002-11-05
NC	SurveyUSA	2002	NA	2002-10-29	611	46	50	NA	NA	NA	45.6354039789	54.3645960211	Sen	2002-11-05
NH	American Research Group	2002	NA	2002-10-29	600	46	48	NA	NA	NA	47.7268051841	52.2731948159	Sen	2002-11-05
NH	Franklin Pierce University	2002	NA	2002-10-29	933	45	40	NA	NA	NA	47.7268051841	52.2731948159	Sen	2002-11-05
NJ	Rutgers University	2002	NA	2002-10-29	458	52	40	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
NM	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	405	28	61	NA	NA	NA	34.96	65.04	Sen	2002-11-05
OK	SurveyUSA	2002	NA	2002-10-29	710	35	52	NA	NA	NA	38.7885909625	61.2114090375	Sen	2002-11-05
SC	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-29	625	36	53	NA	NA	NA	44.8219900598	55.1780099402	Sen	2002-11-05
AL	University of Alabama	2002	NA	2002-10-30	600	39	47	NA	NA	NA	49.8981670061	50.1018329939	Gov	2002-11-05
AZ	Behavior Research Center (Rocky Mountain)	2002	NA	2002-10-30	549	40	41	NA	NA	NA	50.5470459519	49.4529540481	Gov	2002-11-05
AZ	SurveyUSA	2002	NA	2002-10-30	661	43	41	NA	NA	NA	50.5470459519	49.4529540481	Gov	2002-11-05
CO	Talmey-Drake Research & Strategy, Inc.	2002	NA	2002-10-30	500	28	52	NA	NA	NA	34.994807892	65.005192108	Gov	2002-11-05
CT	Research 2000	2002	NA	2002-10-30	600	42	56	NA	NA	NA	43.9	56.1	Gov	2002-11-05
KS	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-30	625	49	42	NA	NA	NA	53.9795918367	46.0204081633	Gov	2002-11-05
MA	KRC/Communications Research	2002	NA	2002-10-30	400	41	40	NA	NA	NA	47.4128827878	52.5871172122	Gov	2002-11-05
NH	Research 2000	2002	NA	2002-10-30	600	40	54	NA	NA	NA	39.4628099174	60.5371900826	Gov	2002-11-05
NM	Research & Polling, Inc.	2002	NA	2002-10-30	905	52	34	NA	NA	NA	61.3938053097	38.6061946903	Gov	2002-11-05
NY	Blum & Weprin Associates	2002	NA	2002-10-30	1052	27	43	NA	NA	NA	40.41013269	59.58986731	Gov	2002-11-05
OH	SurveyUSA	2002	NA	2002-10-30	725	39	57	NA	NA	NA	39.8958333333	60.1041666667	Gov	2002-11-05
PA	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-30	805	53	36	NA	NA	NA	54.6012269939	45.3987730061	Gov	2002-11-05
TX	SurveyUSA	2002	NA	2002-10-30	683	43	53	NA	NA	NA	40.899795501	59.100204499	Gov	2002-11-05
AL	University of Alabama	2002	NA	2002-10-30	600	26	61	NA	NA	NA	40.4735291129	59.5264708871	Sen	2002-11-05
CO	Talmey-Drake Research & Strategy, Inc.	2002	NA	2002-10-30	500	42	38	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
NH	Research 2000	2002	NA	2002-10-30	600	47	46	NA	NA	NA	47.7268051841	52.2731948159	Sen	2002-11-05
NM	Research & Polling, Inc.	2002	NA	2002-10-30	905	27	65	NA	NA	NA	34.96	65.04	Sen	2002-11-05
TX	SurveyUSA	2002	NA	2002-10-30	683	45	53	NA	NA	NA	43.931866572	56.068133428	Sen	2002-11-05
CO	Ciruli Associates	2002	NA	2002-10-31	400	26	62	NA	NA	NA	34.994807892	65.005192108	Gov	2002-11-05
IA	Selzer & Company	2002	NA	2002-10-31	807	52	40	NA	NA	NA	54.2181069959	45.7818930041	Gov	2002-11-05
IL	Zogby Analytics, telephone	2002	NA	2002-10-31	802	43.2	43.5	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
IL	Zogby Analytics, telephone	2002	NA	2002-10-31	802	55	31	NA	NA	NA	53.6485097636	46.3514902364	Gov	2002-11-05
MA	RKM Research and Communications, Inc.	2002	NA	2002-10-31	465	42	41	NA	NA	NA	47.4128827878	52.5871172122	Gov	2002-11-05
MN	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-31	625	32	36	NA	NA	NA	45.1174289246	54.8825710754	Gov	2002-11-05
MN	Star Tribune	2002	NA	2002-10-31	929	32	35	NA	NA	NA	45.1174289246	54.8825710754	Gov	2002-11-05
NY	Quinnipiac University	2002	NA	2002-10-31	624	29	45	NA	NA	NA	40.41013269	59.58986731	Gov	2002-11-05
TX	Blum & Weprin Associates	2002	NA	2002-10-31	1002	38	50	NA	NA	NA	40.899795501	59.100204499	Gov	2002-11-05
VT	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-31	625	46	36	NA	NA	NA	48.5681557847	51.4318442153	Gov	2002-11-05
CO	Ciruli Associates	2002	NA	2002-10-31	400	42	41	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
IA	Selzer & Company	2002	NA	2002-10-31	807	50	41	NA	NA	NA	55.3082890976	44.6917109024	Sen	2002-11-05
IL	Zogby Analytics, telephone	2002	NA	2002-10-31	802	55	31	NA	NA	NA	61.3421453991	38.6578546009	Sen	2002-11-05
MN	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-10-31	625	41	47	NA	NA	NA	48.8641057414	51.1358942586	Sen	2002-11-05
MN	Star Tribune	2002	NA	2002-10-31	929	46	41	NA	NA	NA	48.8641057414	51.1358942586	Sen	2002-11-05
MO	Zogby Analytics, telephone	2002	NA	2002-10-31	600	46	46	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
NJ	Fairleigh Dickinson University (PublicMind)	2002	NA	2002-10-31	921	47	37	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
NJ	Quinnipiac University	2002	NA	2002-10-31	574	50	39	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
TX	Blum & Weprin Associates	2002	NA	2002-10-31	1002	41	50	NA	NA	NA	43.931866572	56.068133428	Sen	2002-11-05
AR	Gallup	2002	NA	2002-11-01	616	40	55	NA	NA	NA	46.4646464646	53.5353535354	Gov	2002-11-05
CO	Gallup	2002	NA	2002-11-01	619	32	62	NA	NA	NA	34.994807892	65.005192108	Gov	2002-11-05
CO	Zogby Analytics, telephone	2002	NA	2002-11-01	500	28	60	NA	NA	NA	34.994807892	65.005192108	Gov	2002-11-05
FL	Zogby Analytics, telephone	2002	NA	2002-11-01	501	39	55	NA	NA	NA	43.4914228052	56.5085771948	Gov	2002-11-05
KS	SurveyUSA	2002	NA	2002-11-01	704	51	44	NA	NA	NA	53.9795918367	46.0204081633	Gov	2002-11-05
MD	SurveyUSA	2002	NA	2002-11-01	797	46	51	NA	NA	NA	48.0362537764	51.9637462236	Gov	2002-11-05
MI	EPIC-MRA	2002	NA	2002-11-01	500	48	39	NA	NA	NA	52.024291498	47.975708502	Gov	2002-11-05
MN	Zogby Analytics, telephone	2002	NA	2002-11-01	600	34	35	NA	NA	NA	45.1174289246	54.8825710754	Gov	2002-11-05
NH	University of New Hampshire	2002	NA	2002-11-01	642	38	52	NA	NA	NA	39.4628099174	60.5371900826	Gov	2002-11-05
OH	University of Cincinnati (Ohio Poll)	2002	NA	2002-11-01	666	39.3	58	NA	NA	NA	39.8958333333	60.1041666667	Gov	2002-11-05
SD	Gallup	2002	NA	2002-11-01	685	40	54	NA	NA	NA	42.4518743668	57.5481256332	Gov	2002-11-05
TX	Zogby Analytics, telephone	2002	NA	2002-11-01	602	36	50	NA	NA	NA	40.899795501	59.100204499	Gov	2002-11-05
AR	Gallup	2002	NA	2002-11-01	616	51	43	NA	NA	NA	53.9	46.1	Sen	2002-11-05
CO	Gallup	2002	NA	2002-11-01	619	45	47	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
CO	Hill Research Consultants	2002	NA	2002-11-01	400	44	50	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
CO	SurveyUSA	2002	NA	2002-11-01	739	46	50	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
CO	Tarrance Group	2002	NA	2002-11-01	400	44	50	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
GA	Zogby Analytics, telephone	2002	NA	2002-11-01	600	43	44	NA	NA	NA	46.5186986926	53.4813013074	Sen	2002-11-05
MI	EPIC-MRA	2002	NA	2002-11-01	500	61	31	NA	NA	NA	61.5329949239	38.4670050761	Sen	2002-11-05
MN	Zogby Analytics, telephone	2002	NA	2002-11-01	600	47	44	NA	NA	NA	48.8641057414	51.1358942586	Sen	2002-11-05
MO	Gallup	2002	NA	2002-11-01	604	44	48	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
NH	University of New Hampshire	2002	NA	2002-11-01	642	45	46	NA	NA	NA	47.7268051841	52.2731948159	Sen	2002-11-05
NJ	Monmouth University	2002	NA	2002-11-01	611	42	37	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
NJ	Research 2000	2002	NA	2002-11-01	600	51	42	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
NJ	Zogby Analytics, telephone	2002	NA	2002-11-01	527	49	36	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
SD	Gallup	2002	NA	2002-11-01	685	45	48	NA	NA	NA	50.0756887678	49.9243112322	Sen	2002-11-05
SD	Zogby Analytics, telephone	2002	NA	2002-11-01	500	48	44	NA	NA	NA	50.0756887678	49.9243112322	Sen	2002-11-05
TX	Zogby Analytics, telephone	2002	NA	2002-11-01	602	44	44	NA	NA	NA	43.931866572	56.068133428	Sen	2002-11-05
CA	SurveyUSA	2002	NA	2002-11-02	563	45	39	NA	NA	NA	52.7839643653	47.2160356347	Gov	2002-11-05
CA	SurveyUSA	2002	NA	2002-11-02	563	48	37	NA	NA	NA	52.7839643653	47.2160356347	Gov	2002-11-05
CA	SurveyUSA	2002	NA	2002-11-02	563	47	36	NA	NA	NA	52.7839643653	47.2160356347	Gov	2002-11-05
MA	KRC/Communications Research	2002	NA	2002-11-02	400	38	40	NA	NA	NA	47.4128827878	52.5871172122	Gov	2002-11-05
MI	SurveyUSA	2002	NA	2002-11-02	730	52	46	NA	NA	NA	52.024291498	47.975708502	Gov	2002-11-05
NY	Marist College	2002	NA	2002-11-02	475	27	48	NA	NA	NA	40.41013269	59.58986731	Gov	2002-11-05
OK	SurveyUSA	2002	NA	2002-11-02	710	42	38	NA	NA	NA	50.4074505239	49.5925494761	Gov	2002-11-05
SC	SurveyUSA	2002	NA	2002-11-02	764	52	46	NA	NA	NA	47.1	52.9	Gov	2002-11-05
MO	SurveyUSA	2002	NA	2002-11-02	958	49	47	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
OK	SurveyUSA	2002	NA	2002-11-02	710	36	53	NA	NA	NA	38.7885909625	61.2114090375	Sen	2002-11-05
SC	SurveyUSA	2002	NA	2002-11-02	764	48	49	NA	NA	NA	44.8219900598	55.1780099402	Sen	2002-11-05
AR	Zogby Analytics, telephone	2002	NA	2002-11-03	507	41	50	NA	NA	NA	46.4646464646	53.5353535354	Gov	2002-11-05
FL	SurveyUSA	2002	NA	2002-11-03	792	46	51	NA	NA	NA	43.4914228052	56.5085771948	Gov	2002-11-05
MA	Suffolk University	2002	NA	2002-11-03	500	38	41	NA	NA	NA	47.4128827878	52.5871172122	Gov	2002-11-05
NH	American Research Group	2002	NA	2002-11-03	600	38	53	NA	NA	NA	39.4628099174	60.5371900826	Gov	2002-11-05
AR	Zogby Analytics, telephone	2002	NA	2002-11-03	507	53	41	NA	NA	NA	53.9	46.1	Sen	2002-11-05
CO	Zogby Analytics, telephone	2002	NA	2002-11-03	507	49	44	NA	NA	NA	47.4448014927	52.5551985073	Sen	2002-11-05
NC	Zogby Analytics, telephone	2002	NA	2002-11-03	525	39	46	NA	NA	NA	45.6354039789	54.3645960211	Sen	2002-11-05
NH	American Research Group	2002	NA	2002-11-03	600	44	48	NA	NA	NA	47.7268051841	52.2731948159	Sen	2002-11-05
NJ	Zogby Analytics, telephone	2002	NA	2002-11-03	527	49	38	NA	NA	NA	55.0751303281	44.9248696719	Sen	2002-11-05
MN	Zogby Analytics, telephone	2002	NA	2002-11-04	600	36	36	NA	NA	NA	45.1174289246	54.8825710754	Gov	2002-11-05
TX	Zogby Analytics, telephone	2002	NA	2002-11-04	602	34	52	NA	NA	NA	40.899795501	59.100204499	Gov	2002-11-05
GA	Zogby Analytics, telephone	2002	NA	2002-11-04	600	46	44	NA	NA	NA	46.5186986926	53.4813013074	Sen	2002-11-05
MN	Zogby Analytics, telephone	2002	NA	2002-11-04	600	49	44	NA	NA	NA	48.8641057414	51.1358942586	Sen	2002-11-05
MO	Zogby Analytics, telephone	2002	NA	2002-11-04	600	43	50	NA	NA	NA	49.4262211841	50.5737788159	Sen	2002-11-05
SD	Zogby Analytics, telephone	2002	NA	2002-11-04	500	44	48	NA	NA	NA	50.0756887678	49.9243112322	Sen	2002-11-05
TX	Zogby Analytics, telephone	2002	NA	2002-11-04	602	42	46	NA	NA	NA	43.931866572	56.068133428	Sen	2002-11-05
LA	Southern Media & Opinion Research	2002	NA	2002-11-20	600	50	43	NA	NA	NA	51.7	48.3	Sen	2002-12-07
LA	Marketing Research Institute	2002	NA	2002-11-21	800	42	46	NA	NA	NA	51.7	48.3	Sen	2002-12-07
LA	University of New Orleans	2002	NA	2002-11-26	700	44	43	NA	NA	NA	51.7	48.3	Sen	2002-12-07
LA	Mason-Dixon Polling & Research, Inc.	2002	NA	2002-12-03	625	47	45	NA	NA	NA	51.7	48.3	Sen	2002-12-07
CA	Knowledge Networks	2003	NA	2003-09-16	702	32	41	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	SurveyUSA	2003	NA	2003-09-21	294	32	39	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	Baselice & Associates, Inc.	2003	NA	2003-09-25	804	31	35	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	Gallup	2003	NA	2003-09-26	581	25	40	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	Los Angeles Times	2003	NA	2003-09-27	815	32	40	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	Field Research Corporation (Field Poll)	2003	NA	2003-09-28	894	26	36	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	SurveyUSA	2003	NA	2003-09-29	294	28	45	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	Knowledge Networks	2003	NA	2003-09-30	702	30	43	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	Elway Research	2003	NA	2003-10-03	1000	29	37	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
CA	SurveyUSA	2003	NA	2003-10-03	294	29	49	NA	NA	NA	39.3621013133	60.6378986867	Gov	2003-10-07
